expression,force,flavor,can_express,polarity,syntactically_negated,neg_position,full_form,notes
nužno,strong,deontic,1,negative,yes,below,ne nužno,
nužno,weak necessity,deontic,?,negative,yes,below,ne nužno,
nužno,weak,deontic,?,negative,yes,below,ne nužno,
nužno,strong,teleological,1,negative,yes,below,ne nužno,
nužno,weak necessity,teleological,?,negative,yes,below,ne nužno,
nužno,weak,teleological,?,negative,yes,below,ne nužno,
nužno,strong,circumstantial,?,negative,yes,below,ne nužno,
nužno,weak,circumstantial,?,negative,yes,below,ne nužno,
nužno,strong,bouletic,?,negative,yes,below,ne nužno,
nado,strong,epistemic,?,negative,yes,below,ne nado,
nado,weak necessity,epistemic,?,negative,yes,below,ne nado,
nado,weak,epistemic,?,negative,yes,below,ne nado,
nado,strong,deontic,1,negative,yes,below,ne nado,
nado,weak necessity,deontic,?,negative,yes,below,ne nado,
nado,weak,deontic,?,negative,yes,below,ne nado,
nado,strong,teleological,?,negative,yes,below,ne nado,
nado,weak necessity,teleological,?,negative,yes,below,ne nado,
nado,weak,teleological,?,negative,yes,below,ne nado,
nado,strong,circumstantial,?,negative,yes,below,ne nado,
nado,weak,circumstantial,?,negative,yes,below,ne nado,
nado,strong,bouletic,?,negative,yes,below,ne nado,
